net,test case,ground truth,your output,your runtime,your point
conv_linear,img0_mnist_0.030107.txt,not verified,not verified,1.256,0
conv_linear,img1_mnist_0.042078.txt,not verified,not verified,1.256,0
conv_linear,img2_mnist_0.048613.txt,not verified,not verified,1.259,0
conv_linear,img3_mnist_0.070726.txt,not verified,not verified,1.257,0
conv_linear,img5_mnist_0.073074.txt,not verified,not verified,1.266,0
conv_linear,img6_mnist_0.052523.txt,verified,verified,1.261,1
conv_linear,img8_mnist_0.073041.txt,verified,verified,1.261,1
conv_linear,img9_mnist_0.101203.txt,verified,verified,1.263,1
conv_linear,img10_mnist_0.092133.txt,verified,verified,1.258,1
conv_linear,img11_mnist_0.054028.txt,verified,verified,1.258,1
fc_linear,img0_mnist_0.004477.txt,not verified,not verified,1.22,0
fc_linear,img1_mnist_0.048407.txt,not verified,not verified,1.213,0
fc_linear,img2_mnist_0.056856.txt,not verified,not verified,1.214,0
fc_linear,img3_mnist_0.060120.txt,not verified,not verified,1.209,0
fc_linear,img5_mnist_0.087074.txt,not verified,not verified,1.213,0
fc_linear,img6_mnist_0.102748.txt,verified,verified,1.217,1
fc_linear,img8_mnist_0.066782.txt,verified,verified,1.219,1
fc_linear,img9_mnist_0.058504.txt,verified,verified,1.217,1
fc_linear,img10_mnist_0.089835.txt,verified,verified,1.212,1
fc_linear,img11_mnist_0.158360.txt,verified,verified,1.213,1
fc6_d,img0_mnist_0.004768.txt,not verified,timeout (not verified),61,0
fc6_d,img1_mnist_0.077233.txt,not verified,timeout (not verified),61,0
fc6_d,img3_mnist_0.094721.txt,not verified,timeout (not verified),61,0
fc6_d,img4_mnist_0.037590.txt,verified,verified,1.504,1
fc6_d,img6_mnist_0.044522.txt,verified,verified,1.534,1
fc6_d,img7_mnist_0.043096.txt,verified,verified,1.546,1
fc6_d,img8_mnist_0.038144.txt,verified,verified,1.542,1
fc6_d,img9_mnist_0.037590.txt,verified,verified,1.555,1
fc6_d,img10_mnist_0.056404.txt,verified,verified,1.897,1
fc6_d,img11_mnist_0.046344.txt,verified,verified,1.693,1
fc6_w,img0_mnist_0.002323.txt,not verified,timeout (not verified),61,0
fc6_w,img1_mnist_0.070586.txt,not verified,timeout (not verified),61,0
fc6_w,img2_mnist_0.117592.txt,not verified,timeout (not verified),61,0
fc6_w,img4_mnist_0.051968.txt,verified,verified,1.475,1
fc6_w,img5_mnist_0.049988.txt,verified,verified,1.457,1
fc6_w,img7_mnist_0.050146.txt,verified,verified,1.473,1
fc6_w,img8_mnist_0.047730.txt,verified,verified,1.476,1
fc6_w,img9_mnist_0.057157.txt,verified,verified,1.475,1
fc6_w,img10_mnist_0.046423.txt,verified,verified,1.544,1
fc6_w,img11_mnist_0.058108.txt,verified,verified,1.515,1
fc_dw,img0_mnist_0.018995.txt,not verified,timeout (not verified),61,0
fc_dw,img1_mnist_0.050675.txt,not verified,timeout (not verified),61,0
fc_dw,img3_mnist_0.086298.txt,not verified,timeout (not verified),61,0
fc_dw,img4_mnist_0.019369.txt,verified,verified,1.576,1
fc_dw,img6_mnist_0.022419.txt,verified,verified,1.523,1
fc_dw,img7_mnist_0.036283.txt,verified,verified,1.578,1
fc_dw,img8_mnist_0.030500.txt,verified,verified,1.569,1
fc_dw,img9_mnist_0.029787.txt,verified,verified,1.574,1
fc_dw,img10_mnist_0.048601.txt,verified,verified,1.863,1
fc_dw,img11_mnist_0.053790.txt,verified,verified,1.809,1
fc6_base,img0_mnist_0.036379.txt,not verified,timeout (not verified),61,0
fc6_base,img1_mnist_0.040622.txt,not verified,timeout (not verified),61,0
fc6_base,img2_mnist_0.063693.txt,not verified,timeout (not verified),61,0
fc6_base,img4_mnist_0.034540.txt,verified,verified,1.469,1
